(0, 0, 0)
(255, 255, 255)
(255, 0, 0)
(0, 255, 0)
(0, 0, 255)
(255, 255, 0)
(255, 165, 0)
(128, 0, 128)
(0, 255, 255)
(255, 192, 203)
(134, 82, 131)
(0, 254, 61)
(24, 148, 240)
(95, 146, 213)
(135, 252, 90)
(62, 154, 252)
(176, 82, 171)
(75, 156, 223)
(120, 48, 139)
(152, 160, 252)
(8, 140, 197)
(171, 98, 26)
(11, 129, 90)
(103, 155, 231)
(188, 63, 167)
(72, 194, 226)
(210, 100, 47)
(132, 216, 22)
(40, 134, 13)
(119, 134, 34)
(91, 76, 169)
(5, 234, 86)
(154, 123, 115)
(136, 118, 114)
(192, 167, 155)
(179, 144, 142)
(113, 96, 95)
(182, 123, 100)
(149, 111, 103)
(76, 62, 59)
(123, 74, 58)
(164, 123, 118)
(67, 43, 37)
(217, 180, 163)
(106, 74, 65)
(137, 105, 96)
(39, 35, 33)
(168, 131, 126)
(125, 85, 75)
(60, 46, 41)
(183, 156, 148)
(90, 63, 54)
(153, 117, 108)
(104, 84, 77)
(134, 94, 79)
(22, 21, 24)
(115, 85, 78)
(168, 141, 134)
(38, 28, 27)
(212, 158, 135)
(87, 69, 65)
(199, 146, 126)
(138, 85, 66)
(147, 101, 88)
(134, 98, 94)
(60, 39, 33)
(28, 27, 29)
(49, 35, 33)
(51, 39, 36)
(36, 31, 29)
(72, 54, 49)
(230, 192, 174)
(51, 44, 42)
(196, 135, 109)
(162, 103, 80)
(104, 61, 46)
(91, 78, 70)
(76, 45, 37)
(80, 54, 47)
(196, 157, 145)
(220, 169, 150)
(49, 30, 27)
(178, 135, 128)
(89, 55, 45)
(165, 155, 148)
(31, 20, 20)
(18, 15, 19)
(63, 53, 49)
(151, 137, 136)
(32, 24, 25)
(108, 67, 54)
(113, 95, 72)
(165, 113, 98)
(131, 115, 86)
(118, 106, 85)
(148, 133, 102)
